topic,source,url
NYC LL144,"NYC Department of Consumer and Worker Protection, AEDT final rule",https://www.nyc.gov/site/dca/about/automated-employment-decision-tools.page
EU AI Act,"European Commission, regulatory framework for AI",https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai
EU AI Act text,"Regulation (EU) 2024/1689, EUR-Lex",https://eur-lex.europa.eu/eli/reg/2024/1689/oj
Colorado,"Colorado General Assembly, SB 24-205",https://leg.colorado.gov
Illinois,"Illinois General Assembly, HB 3773",https://www.ilga.gov
California,California Civil Rights Department,https://calcivilrights.ca.gov
Federal US,EEOC,https://www.eeoc.gov
Four-fifths rule,"Uniform Guidelines on Employee Selection Procedures, 29 CFR 1607",https://www.ecfr.gov
